107/02/12,0,0,---,---,---,---,---,0
107/02/09,15000,17700,1.18,1.18,1.18,1.18,-0.49,1
107/02/08,15000,25050,1.67,1.67,1.67,1.67,-0.81,1
107/02/07,31000,72380,2.33,2.48,2.33,2.48,+0.65,3
107/02/06,31000,56530,2.08,2.08,1.80,1.83,-0.80,3
