107/02/12,0,0,---,---,---,---,---,0
107/02/09,230000,256690,1.16,1.16,1.11,1.15,+0.13,5
107/02/08,133000,148470,1.07,1.14,1.02,1.02,-0.01,9
107/02/07,510000,505000,1.00,1.03,0.93,1.03,-0.10,5
107/02/06,401000,431930,1.02,1.13,1.02,1.13,+0.35,7
