107/02/09,0,0,---,---,---,---,---,0
107/02/08,370000,3700,0.01,0.01,0.01,0.01,0.00,3
107/02/07,140000,1400,0.01,0.01,0.01,0.01,-0.01,3
107/02/06,100000,2200,0.02,0.03,0.02,0.02,-0.09,4
