107/02/12,0,0,---,---,---,---,---,0
107/02/09,132000,256500,1.97,1.97,1.94,1.94,+0.08,3
107/02/08,162000,308160,1.89,1.93,1.86,1.86,-0.07,5
107/02/07,135000,263260,1.96,1.96,1.93,1.93,-0.30,8
107/02/06,270000,522270,1.91,2.30,1.88,2.23,+0.51,8
