107/02/12,0,0,---,---,---,---,---,0
107/02/09,30000,18000,0.60,0.60,0.60,0.60,-0.27,1
107/02/08,45000,39460,0.90,0.90,0.87,0.87,-0.08,4
107/02/07,18000,17610,0.98,0.99,0.95,0.95,-0.17,4
107/02/06,2000,2370,1.25,1.25,1.12,1.12,-0.24,2
