107/02/12,0,0,---,---,---,---,---,0
107/02/09,20000,9400,0.47,0.47,0.47,0.47,+0.11,1
107/02/08,26000,10360,0.40,0.40,0.36,0.36,-0.02,2
107/02/07,465000,185100,0.40,0.40,0.38,0.38,-0.20,4
107/02/06,740000,394000,0.49,0.58,0.49,0.58,+0.17,13
