107/02/12,0,0,---,---,---,---,---,0
107/02/09,2000,540,0.27,0.27,0.27,0.27,-0.11,1
107/02/08,435000,168800,0.38,0.40,0.38,0.38,-0.02,5
107/02/07,290000,118470,0.41,0.41,0.40,0.40,+0.06,4
107/02/06,922000,362440,0.43,0.43,0.34,0.34,-0.17,19
