107/02/12,0,0,---,---,---,---,---,0
107/02/09,10000,16800,1.68,1.68,1.68,1.68,+0.20,1
107/02/08,51000,75610,1.37,1.52,1.37,1.48,+0.09,6
107/02/07,33000,45630,1.46,1.46,1.37,1.39,-0.25,6
107/02/06,30000,49400,1.66,1.66,1.64,1.64,+0.26,2
