107/02/12,0,0,---,---,---,---,---,0
107/02/09,12000,9310,0.81,0.81,0.77,0.77,+0.14,4
107/02/08,1000,630,0.63,0.63,0.63,0.63,-0.10,1
107/02/07,112000,71100,0.64,0.73,0.63,0.73,-0.13,5
107/02/06,166000,123970,0.67,0.86,0.62,0.86,+0.32,9
