107/02/12,0,0,---,---,---,---,---,0
107/02/09,60000,34600,0.53,0.72,0.53,0.72,-0.02,3
107/02/08,20000,14800,0.74,0.74,0.74,0.74,-0.06,2
107/02/07,128000,102400,0.80,0.80,0.80,0.80,+0.18,1
107/02/06,55000,34100,0.62,0.62,0.62,0.62,-0.41,1
