107/02/12,31000,31970,1.07,1.07,1.03,1.03,0.00,2
107/02/09,18000,18220,1.01,1.03,1.01,1.03,+0.07,2
107/02/08,0,0,---,---,---,---,---,0
107/02/07,10000,9600,0.96,0.96,0.96,0.96,-0.10,1
107/02/06,10000,10600,1.06,1.06,1.06,1.06,+0.23,1
