107/02/12,0,0,---,---,---,---,---,0
107/02/09,90000,9000,0.10,0.10,0.10,0.10,+0.03,1
107/02/08,30000,2100,0.07,0.07,0.07,0.07,-0.02,1
107/02/07,60000,5700,0.10,0.10,0.09,0.09,-0.08,2
107/02/06,201000,32140,0.15,0.17,0.14,0.17,+0.07,3
