107/02/12,13035,118948,9.11,9.20,9.11,9.13,-0.34,10
107/02/09,1,10,---,---,---,---,---,1
107/02/08,5000,46840,9.30,9.47,9.30,9.47,-0.01,3
107/02/07,0,0,---,---,---,---,---,0
107/02/06,132,1188,---,---,---,---,---,1
