107/02/12,308000,600600,1.95,1.95,1.95,1.95,+0.05,2
107/02/09,0,0,---,---,---,---,---,0
107/02/08,8000,16640,2.08,2.08,2.08,2.08,0.00,1
107/02/07,20000,41600,2.08,2.08,2.08,2.08,+0.22,1
107/02/06,39000,76180,2.08,2.08,1.86,1.86,-0.48,3
