107/02/12,0,0,---,---,---,---,---,0
107/02/09,160000,251670,1.73,1.73,1.44,1.44,-0.14,5
107/02/08,131000,205380,1.55,1.58,1.55,1.58,+0.09,3
107/02/07,157000,216630,1.36,1.49,1.36,1.49,-0.11,14
107/02/06,246000,374490,1.47,1.65,1.47,1.60,+0.27,10
