107/02/12,0,0,---,---,---,---,---,0
107/02/09,110000,70600,0.64,0.66,0.64,0.66,0.00,3
107/02/08,310000,237300,0.84,0.84,0.64,0.66,-0.19,7
107/02/07,306000,255570,0.79,0.87,0.79,0.85,+0.14,8
107/02/06,62000,49620,0.89,0.89,0.71,0.71,-0.22,4
