107/02/12,0,0,---,---,---,---,---,0
107/02/09,6000,2760,0.46,0.46,0.46,0.46,-0.29,2
107/02/08,81000,63790,0.79,0.79,0.75,0.75,-0.01,2
107/02/07,98000,87960,0.87,0.92,0.76,0.76,-0.12,3
107/02/06,10000,8800,0.88,0.88,0.88,0.88,-0.32,1
