107/02/12,1004,23992,23.90,23.90,23.90,23.90,+2.15,4
107/02/09,190,4131,---,---,---,---,---,2
107/02/08,1,21,---,---,---,---,---,1
107/02/07,6,118,---,---,---,---,---,2
107/02/06,1085,23330,21.75,21.75,21.75,21.75,+1.95,4
