107/02/12,0,0,---,---,---,---,---,0
107/02/09,60000,33200,0.54,0.62,0.54,0.62,-0.21,2
107/02/08,50000,41500,0.83,0.83,0.83,0.83,+0.06,1
107/02/07,2000,1540,0.77,0.77,0.77,0.77,+0.11,1
107/02/06,64000,50030,0.85,0.88,0.66,0.66,-0.32,5
