107/02/12,3000,238200,79.50,79.50,79.30,79.30,-1.40,3
107/02/09,0,0,---,---,---,---,---,0
107/02/08,3000,245300,83.90,83.90,80.70,80.70,-3.80,3
107/02/07,1000,84500,84.50,84.50,84.50,84.50,+5.50,1
107/02/06,21040,1638003,78.50,79.00,75.30,79.00,0.00,17
