107/02/12,15742,95547,5.89,6.18,5.89,6.10,+0.05,38
107/02/09,146783,848745,5.80,6.08,5.75,6.05,-0.01,46
107/02/08,1181,7107,---,---,---,---,-6.06,25
107/02/07,24269,149881,6.23,6.23,6.06,6.06,-0.17,51
107/02/06,128700,736330,5.88,6.23,5.68,6.23,-0.02,76
