107/02/12,0,0,---,---,---,---,---,0
107/02/09,10000,4300,0.43,0.43,0.43,0.43,-0.14,1
107/02/08,10000,5700,0.57,0.57,0.57,0.57,-0.07,1
107/02/07,50000,32000,0.64,0.64,0.64,0.64,+0.09,1
107/02/06,100000,55000,0.55,0.55,0.55,0.55,-0.27,2
