107/02/12,0,0,---,---,---,---,---,0
107/02/09,30000,6080,0.18,0.25,0.18,0.25,-0.05,5
107/02/08,15000,5000,0.35,0.35,0.30,0.30,-0.02,2
107/02/07,27000,9420,0.35,0.37,0.32,0.32,0.00,5
107/02/06,26000,8800,0.36,0.36,0.32,0.32,-0.15,4
