107/02/12,0,0,---,---,---,---,---,0
107/02/09,401000,675040,1.74,1.75,1.55,1.58,+0.06,29
107/02/08,386000,635020,1.69,1.71,1.52,1.52,-0.10,11
107/02/07,665000,1099510,1.73,1.73,1.55,1.62,-0.61,21
107/02/06,880000,1604440,1.66,2.23,1.63,2.23,+0.70,24
