107/02/12,0,0,---,---,---,---,---,0
107/02/09,90000,4500,0.05,0.05,0.05,0.05,-0.03,1
107/02/08,70000,5800,0.09,0.09,0.08,0.08,-0.04,2
107/02/07,68000,7850,0.12,0.12,0.11,0.12,+0.02,4
107/02/06,19000,1900,0.10,0.10,0.10,0.10,-0.13,1
