107/02/12,0,0,---,---,---,---,---,0
107/02/09,13000,10910,0.87,0.87,0.82,0.82,+0.09,2
107/02/08,10000,7300,0.73,0.73,0.73,0.73,-0.01,1
107/02/07,30000,21400,0.70,0.74,0.70,0.74,-0.02,2
107/02/06,23000,17400,0.70,0.77,0.70,0.76,+0.02,3
