107/02/12,0,0,---,---,---,---,---,0
107/02/09,7000,2900,0.41,0.44,0.41,0.44,+0.02,3
107/02/08,1000,420,0.42,0.42,0.42,0.42,-0.02,1
107/02/07,21000,9240,0.44,0.44,0.44,0.44,-0.12,2
107/02/06,39000,20320,0.47,0.56,0.47,0.56,+0.12,5
