107/02/12,0,0,---,---,---,---,---,0
107/02/09,297000,497580,1.67,1.71,1.55,1.55,+0.12,8
107/02/08,511000,699370,1.33,1.43,1.30,1.43,+0.07,28
107/02/07,625000,801650,1.26,1.36,1.25,1.36,0.00,24
107/02/06,449000,556750,1.19,1.36,1.18,1.36,+0.26,13
