107/02/12,0,0,---,---,---,---,---,0
107/02/09,10000,5900,0.59,0.59,0.59,0.59,+0.08,1
107/02/08,12000,6500,0.55,0.55,0.51,0.51,-0.09,6
107/02/07,12000,8100,0.69,0.69,0.60,0.60,-0.03,2
107/02/06,10000,6300,0.63,0.63,0.63,0.63,-0.11,1
