107/02/12,0,0,---,---,---,---,---,0
107/02/09,100000,240860,2.45,2.45,2.39,2.39,+0.23,2
107/02/08,100000,216000,2.16,2.16,2.16,2.16,+0.11,2
107/02/07,236000,488480,2.07,2.10,2.05,2.05,-0.40,5
107/02/06,313000,725690,2.24,2.45,2.24,2.45,+0.32,18
