107/02/12,0,0,---,---,---,---,---,0
107/02/09,6000,1620,0.27,0.27,0.27,0.27,-0.21,1
107/02/08,90000,38100,0.51,0.51,0.36,0.48,-0.22,3
107/02/07,60000,51300,1.01,1.01,0.70,0.70,-0.19,2
107/02/06,340000,306630,0.90,0.98,0.84,0.89,-0.24,9
