107/02/12,0,0,---,---,---,---,---,0
107/02/09,170000,23190,0.13,0.16,0.13,0.16,-0.09,4
107/02/08,41000,10250,0.25,0.25,0.25,0.25,+0.02,1
107/02/07,184000,45200,0.26,0.26,0.23,0.23,-0.01,9
107/02/06,37000,8980,0.26,0.26,0.24,0.24,-0.11,2
