107/02/12,0,0,---,---,---,---,---,0
107/02/09,30000,11800,0.34,0.42,0.34,0.42,-0.07,2
107/02/08,110000,56900,0.52,0.52,0.49,0.49,-0.05,2
107/02/07,418000,219180,0.51,0.57,0.50,0.54,+0.08,5
107/02/06,298000,142080,0.51,0.51,0.46,0.46,-0.25,3
