107/02/12,0,0,---,---,---,---,---,0
107/02/09,211000,289550,1.38,1.39,1.31,1.31,-0.06,9
107/02/08,201000,275370,1.37,1.37,1.37,1.37,+0.02,5
107/02/07,220000,303700,1.41,1.41,1.32,1.35,-0.23,8
107/02/06,223000,308580,1.37,1.58,1.36,1.58,+0.29,8
