107/02/12,0,0,---,---,---,---,---,0
107/02/09,70000,42600,0.54,0.62,0.54,0.62,-0.06,3
107/02/08,8000,5190,0.63,0.68,0.63,0.68,-0.14,2
107/02/07,7000,5580,0.70,0.82,0.70,0.82,+0.22,3
107/02/06,1000,600,0.60,0.60,0.60,0.60,-0.22,1
