107/02/12,0,0,---,---,---,---,---,0
107/02/09,400000,457180,1.15,1.25,0.93,0.94,-0.03,14
107/02/08,257000,249290,0.97,0.97,0.97,0.97,+0.06,6
107/02/07,758000,704190,0.95,0.95,0.89,0.91,-0.13,30
107/02/06,1322000,1204820,0.85,1.04,0.83,1.04,+0.26,34
