107/02/12,0,0,---,---,---,---,---,0
107/02/09,53000,10210,0.17,0.20,0.17,0.19,-0.09,3
107/02/08,20000,5600,0.28,0.28,0.28,0.28,0.00,1
107/02/07,20000,5700,0.29,0.29,0.28,0.28,0.00,2
107/02/06,186000,61180,0.40,0.40,0.28,0.28,-0.19,5
