107/02/12,0,0,---,---,---,---,---,0
107/02/09,410000,647400,1.56,1.63,1.52,1.54,-0.12,27
107/02/08,572000,1025800,2.09,2.09,1.62,1.66,-0.43,29
107/02/07,537000,1179300,2.09,2.27,2.09,2.09,+0.35,26
107/02/06,270000,515380,2.16,2.16,1.69,1.74,-0.59,22
