107/02/12,10002,60012,6.00,6.00,6.00,6.00,-0.35,4
107/02/09,11006,64386,5.80,6.35,5.80,6.35,+0.25,9
107/02/08,15,90,---,---,---,---,---,15
107/02/07,0,0,---,---,---,---,---,0
107/02/06,200,1180,---,---,---,---,---,1
