107/02/12,217201,16266453,74.50,75.40,73.80,75.40,+0.90,136
107/02/09,330000,24303200,71.50,74.50,71.50,74.50,+0.50,247
107/02/08,370889,27951153,75.00,76.40,73.00,74.00,-1.00,262
107/02/07,359150,26991294,74.40,76.00,74.40,75.00,除權,255
107/02/06,874150,64318714,75.30,76.80,71.00,74.10,-3.00,529
