107/02/12,0,0,---,---,---,---,---,0
107/02/09,41000,42300,1.22,1.27,0.97,0.97,-0.11,4
107/02/08,91000,95730,0.99,1.08,0.99,1.08,+0.10,8
107/02/07,191000,182770,0.92,1.01,0.92,0.98,-0.22,25
107/02/06,56000,61550,1.11,1.20,1.01,1.20,+0.28,6
