107/02/12,0,0,---,---,---,---,---,0
107/02/09,98000,160720,1.65,1.65,1.63,1.64,-0.13,3
107/02/08,753000,1314690,1.61,1.77,1.61,1.77,+0.09,8
107/02/07,184000,303920,1.63,1.69,1.59,1.68,-0.04,12
107/02/06,70000,122400,1.76,1.76,1.72,1.72,+0.15,2
