107/02/12,52000,312000,6.00,6.00,6.00,6.00,+0.20,2
107/02/09,80000,464000,5.80,5.80,5.80,5.80,-0.05,1
107/02/08,0,0,---,---,---,---,---,0
107/02/07,60000,348000,5.80,5.80,5.80,5.80,0.00,19
107/02/06,28000,163000,6.00,6.00,5.80,5.80,-0.21,9
