107/02/12,0,0,---,---,---,---,---,0
107/02/09,30000,52400,1.76,1.76,1.72,1.72,+0.14,2
107/02/08,21000,32380,1.54,1.58,1.54,1.58,+0.09,2
107/02/07,172000,262240,1.53,1.53,1.49,1.49,-0.20,5
107/02/06,215000,355840,1.60,1.76,1.60,1.69,+0.17,9
