107/02/12,0,0,---,---,---,---,---,0
107/02/09,200000,120100,0.60,0.61,0.59,0.59,+0.10,9
107/02/08,159000,77410,0.48,0.49,0.48,0.49,+0.03,9
107/02/07,127000,58400,0.46,0.46,0.44,0.46,-0.05,6
107/02/06,350000,165930,0.45,0.56,0.43,0.51,+0.09,24
