107/02/12,0,0,--,--,--,--,0.00,0
107/02/09,0,0,--,--,--,--,0.00,0
107/02/08,20000,11400,0.57,0.57,0.57,0.57,-0.37,2
107/02/07,45000,39600,0.72,0.94,0.72,0.94,0.42,3
107/02/06,285000,165700,0.92,0.92,0.47,0.52,0.00,29
