107/02/12,0,0,---,---,---,---,---,0
107/02/09,10000,4600,0.46,0.46,0.46,0.46,+0.14,1
107/02/08,100000,29300,0.28,0.32,0.28,0.32,+0.05,6
107/02/07,140000,38850,0.28,0.30,0.26,0.27,-0.11,9
107/02/06,30000,11700,0.40,0.40,0.38,0.38,+0.06,3
