107/02/12,0,0,---,---,---,---,---,0
107/02/09,120000,17300,0.14,0.15,0.14,0.15,-0.03,3
107/02/08,30000,5400,0.18,0.18,0.18,0.18,-0.03,1
107/02/07,6000,1260,0.21,0.21,0.21,0.21,+0.03,2
107/02/06,20000,3600,0.18,0.18,0.18,0.18,-0.11,1
