107/02/12,0,0,---,---,---,---,---,0
107/02/09,5000,3600,0.72,0.72,0.72,0.72,-0.08,1
107/02/08,100000,82280,0.83,0.83,0.80,0.80,-0.08,2
107/02/07,454000,413030,0.91,0.92,0.88,0.88,-0.02,11
107/02/06,44000,40180,0.93,0.93,0.90,0.90,-0.16,3
