107/02/12,0,0,---,---,---,---,---,0
107/02/09,119000,22910,0.19,0.26,0.18,0.26,-0.05,5
107/02/08,129000,47300,0.37,0.37,0.31,0.31,-0.04,4
107/02/07,24000,9270,0.39,0.40,0.35,0.35,-0.01,6
107/02/06,558000,230580,0.40,0.43,0.36,0.36,-0.17,5
