107/02/12,0,0,---,---,---,---,---,0
107/02/09,100000,265600,3.09,3.09,2.59,2.59,-0.18,4
107/02/08,260000,694000,2.63,2.81,2.62,2.77,+0.09,7
107/02/07,440000,1161000,2.59,2.71,2.59,2.68,-0.05,9
107/02/06,83000,226590,2.73,2.73,2.73,2.73,+0.21,1
