107/02/12,0,0,---,---,---,---,---,0
107/02/09,280000,258200,0.92,0.93,0.91,0.91,+0.01,20
107/02/08,10000,9000,0.90,0.90,0.90,0.90,+0.03,1
107/02/07,447000,406590,0.93,0.93,0.87,0.87,-0.18,8
107/02/06,605000,565200,0.91,1.10,0.90,1.05,+0.22,14
