107/02/12,70000,2515350,35.85,36.20,35.50,36.00,+0.15,48
107/02/09,153000,5296300,35.10,36.00,32.80,35.85,-0.45,112
107/02/08,240000,8721450,37.10,37.10,35.60,36.30,除權,161
107/02/07,154000,5870200,38.25,39.80,37.00,38.60,+2.10,121
107/02/06,284000,10663450,39.00,39.00,35.50,36.50,-2.85,172
