107/02/12,12579,92003,6.51,7.48,6.51,7.48,+0.58,13
107/02/09,379,2500,---,---,---,---,---,14
107/02/08,3,21,---,---,---,---,---,3
107/02/07,1,7,---,---,---,---,---,1
107/02/06,199,1334,---,---,---,---,---,2
