107/02/12,0,0,---,---,---,---,---,0
107/02/09,28000,15300,0.54,0.55,0.54,0.55,-0.14,2
107/02/08,284000,243770,0.95,0.95,0.69,0.69,-0.30,6
107/02/07,268000,264680,0.97,0.99,0.97,0.99,+0.06,5
107/02/06,27000,26680,1.05,1.06,0.93,0.93,-0.25,8
